skill,nationality
technical skills,afghanistan
ajenti,albania
django-suit,algeria
django-xadmin,american
flask-admin,american samoa
flower,andorra
grappelli,angola
wooey,anguilla
algorithms,antarctica
pypattyrn,antigua and barbuda
python-patterns,argentina
sortedcontainers,armenia
django-simple-captcha,aruba
django-simple-spam-blocker,australia
django-compressor,austria
django-pipeline,azerbaijan
django-storages,bahamas
fanstatic,bahrain
fileconveyor,bangladesh
flask-assets,barbados
jinja-assets-compressor,belarus
webassets,belgium
audiolazy,belize
audioread,benin
beets,bermuda
dejavu,bhutan
django-elastic-transcoder,bolivia
eyed3,bosnia and herzegovina
id3reader,botswana
m3u8,bouvet island
mingus,brazil
pyaudioanalysis,british indian ocean territory
pydub,brunei darussalam
pyechonest,bulgaria
talkbox,burkina faso
timeside,burundi
tinytag,cambodia
authomatic,cameroon
django-allauth,canada
django-oauth-toolkit,capeverde
flask-oauthlib,cayman islands
oauthlib,central african republic
python-oauth2,chad
python-social-auth,chile
rauth,china
sanction,christmas island
jose,cocos (keeling) islands
pyjwt,colombia
python-jws,comoros
python-jwt,congo
bitbake,congo
buildout,thedemocratic republic of the
platformio,cook islands
pybuilder,costa rica
scons,cote d'ivoire
django-cms,croatia
djedi-cms,cuba
feincms,cyprus
kotti,czech republic
mezzanine,denmark
opps,djibouti
plone,dominica
quokka,dominicanrepublic
wagtail,east timor
widgy,ecuador
beaker,egypt
diskcache,el salvador
django-cache-machine,equatorial guinea
django-cacheops,eritrea
django-viewlet,estonia
dogpile.cache,ethiopia
hermescache,falkland islands (malvinas)
johnny-cache,faroe islands
pylibmc,fiji
errbot,finland
coala,france
code2flow,french guiana
pycallgraph,french polynesia
flake8,french southern territories
pylama,gabon
pylint,gambia
mypy,georgia
asciimatics,germany
cement,ghana
click,gibraltar
cliff,greece
clint,greenland
colorama,grenada
docopt,guadeloupe
gooey,guam
python-fire,guatemala
python-prompt-toolkit,guinea
aws-cli,guinea-bissau
bashplotlib,guyana
caniusepython3,haiti
cookiecutter,heard island and mcdonald islands
doitlive,holy see
howdoi,honduras
httpie,hong kong
mycli,hungary
pathpicker,iceland
percol,india
pgcli,indonesia
saws,iran
thefuck,islamic republic of
cloud management,iraq
python-future,ireland
python-modernize,israel
six,italy
opencv,jamaica
pyocr,japan
pytesseract,jordan
simplecv,kazakstan
eventlet,kenya
gevent,kiribati
multiprocessing,korea
threading,democratic people's republic of
tomorrow,korea
uvloop,republic of
config,kosovo
configobj,kuwait
configparser,kyrgyzstan
profig,lao people's democratic republic
python-decouple,latvia
cryptography,lebanon
hashids,lesotho
paramiko,liberia
passlib,libyan arab jamahiriya
pynacl,liechtenstein
blaze,lithuania
orange,luxembourg
pandas,macau
cerberus,macedonia
colander,the former yugoslav republic of
jsonschema,madagascar
schematics,malawi
valideer,malaysia
voluptuous,maldives
altair,mali
bokeh,malta
ggplot,marshall islands
matplotlib,martinique
pygal,mauritania
pygraphviz,mauritius
pyqtgraph,mayotte
seaborn,mexico
vispy,micronesia
pickledb,federatedstates of
pipelinedb,moldova
tinydb,republic of
zodb,monaco
mysql,mongolia
mysql-python,montserrat
mysqlclient,montenegro
oursql,morocco
pymysql,mozambique
postgresql,myanmar
psycopg2,namibia
queries,nauru
txpostgres,nepal
apsw,netherlands
pymssql,netherlands antilles
nosql,new caledonia
cassandra-python-driver,new zealand
happybase,nicaragua
plyvel,niger
py2neo,nigeria
pycassa,niue
pymongo,norfolk island
mongodb,northern mariana islands
redis-py,norway
telephus,oman
txredis,pakistan
arrow,palau
chronyk,palestinian territory
dateutil,occupied
delorean,panama
moment,papua new guinea
pendulum,paraguay
pytime,peru
pytz,philippines
when.py,pitcairn
ipdb,poland
pdb++,portugal
pudb,puerto rico
remote-pdb,qatar
wdb,reunion
line_profiler,romania
memory_profiler,russian federation
profiling,rwanda
vprof,saint helena
caffe,saint kitts and nevis
keras,saint lucia
mxnet,saint pierre and miquelon
neupy,saint vincent and thegrenadines
pytorch,samoa
tensorflow,san marino
theano,sao tome and principe
ansible,saudi arabia
cloud-init,senegal
cuisine,serbia
docker,seychelles
fabric,sierra leone
fabtools,singapore
honcho,slovakia
openstack,slovenia
pexpect,solomoislands
psutil,somalia
saltstack,south africa
supervisor,south georgia and the south sandwich islands
dh-virtualenv,spain
nuitka,sri lanka
py2app,sudan
py2exe,suriname
pyinstaller,svalbard and jan mayen
pynsist,swaziland
sphinx,sweden
awesome-sphinxdoc,switzerland
mkdocs,syrian arab republic
pdoc,taiwan
pyccos3cmd,province of china
s4cmd,tajikistan
you-get,tanzania
youtube-dl,united republic of
alipay,thailand
cartridge,togo
django-oscar,tokelau
django-shop,tongatrinidad and tobago
merchant,tunisia
money,turkey
python-currencies,turkmenistan
forex-python,turks and caicos islands
shoop,tuvalu
emacs,uganda
elpy,ukraine
sublime,united arab emirates
anaconda,united kingdom
sublimejedi,unitedstates
vim,united states minor outlying islands
jedi-vim,uruguay
python-mode,uzbekistan
youcompleteme,vanuatu
ptvs,venezuela
visual,vietnam
python,viet nam
magic,virgin islands
liclipse,british
pycharm,virgin islands
spyder,us
envelopes,u.s.
flanker,wallis and futuna
imbox,western sahara
inbox.py,yemen
lamson,zambia
marrow,zimbabwe
modoboa,vatican city state
nylas,
yagmail,
pipenv,
pyenv,
venv,
virtualenv,
virtualenvwrapper,
imghdr,
mimetypes,
path.py,
pathlib,
python-magic,
unipath,
watchdog,
cffi,
ctypes,
pycuda,
swig,
deform,
django-bootstrap3,
django-crispy-forms,
django-remote-forms,
wtforms,
cytoolz,
fn.py,
